Tiempo,PosX,PosY,VelX,VelY,AcelY
0.033,323,504,-210.0,570.0,-10800.0
0.067,330,485,-540.0,930.0,-9000.0
0.1,348,454,-870.0,1230.0,-1800.0
0.133,377,413,-1020.0,1290.0,2700.0
0.167,411,370,-990.0,1200.0,1800.0
0.2,444,330,-1080.0,1140.0,1800.0
0.233,480,292,-1020.0,1080.0,2700.0
0.267,514,256,-1020.0,990.0,2700.0
0.3,548,223,-990.0,900.0,2700.0
0.333,581,193,-960.0,810.0,0.0
0.367,613,166,-1020.0,810.0,7200.0
0.4,647,139,-930.0,570.0,-3600.0
0.433,678,120,-960.0,690.0,3600.0
0.467,710,97,-960.0,570.0,4500.0
0.5,742,78,-930.0,420.0,900.0
0.533,773,64,-930.0,390.0,2700.0
0.567,804,51,-930.0,300.0,2700.0
0.6,835,41,-990.0,210.0,1800.0
0.633,868,34,-900.0,150.0,1800.0
0.667,898,29,-990.0,90.0,3600.0
0.7,931,26,-930.0,-30.0,1800.0
0.733,962,27,-930.0,-90.0,900.0
0.767,993,30,-930.0,-120.0,2700.0
0.8,1024,34,-930.0,-210.0,1800.0
0.833,1055,41,-960.0,-270.0,2700.0
0.867,1087,50,-870.0,-360.0,2700.0
0.9,1116,62,-990.0,-450.0,1800.0
0.933,1149,77,-990.0,-510.0,1800.0
0.967,1182,94,-930.0,-570.0,3600.0
1.0,1213,113,-900.0,-690.0,0.0
1.033,1243,136,-960.0,-690.0,3600.0
1.067,1275,159,-930.0,-810.0,900.0
1.1,1306,186,-900.0,-840.0,3600.0
1.133,1336,214,,,
1.167,1368,246,,,
