Tiempo,PosX,PosY,VelX,VelY,AcelY
0.033,505,542,180.0,150.0,-4500.0
0.067,499,537,30.0,300.0,-9000.0
0.1,498,527,-180.0,600.0,-9900.0
0.133,504,507,-420.0,930.0,-4500.0
0.167,518,476,-660.0,1080.0,900.0
0.2,540,440,-690.0,1050.0,0.0
0.233,563,405,-720.0,1050.0,4500.0
0.267,587,370,-720.0,900.0,900.0
0.3,611,340,-690.0,870.0,2700.0
0.333,634,311,-660.0,780.0,900.0
0.367,656,285,-690.0,750.0,900.0
0.4,679,260,-690.0,720.0,2700.0
0.433,702,236,-690.0,630.0,1800.0
0.467,725,215,-660.0,570.0,900.0
0.5,747,196,-690.0,540.0,2700.0
0.533,770,178,-660.0,450.0,1800.0
0.567,792,163,-690.0,390.0,900.0
0.6,815,150,-660.0,360.0,1800.0
0.633,837,138,-660.0,300.0,1800.0
0.667,859,128,-660.0,240.0,2700.0
0.7,881,120,-660.0,150.0,900.0
0.733,903,115,-660.0,120.0,1800.0
0.767,925,111,-660.0,60.0,900.0
0.8,947,109,-660.0,30.0,1800.0
0.833,969,108,-690.0,-30.0,2700.0
0.867,992,109,-660.0,-120.0,900.0
0.9,1014,113,-660.0,-150.0,900.0
0.933,1036,118,-660.0,-180.0,2700.0
0.967,1058,124,-660.0,-270.0,1800.0
1.0,1080,133,-660.0,-330.0,0.0
1.033,1102,144,-660.0,-330.0,3600.0
1.067,1124,155,-690.0,-450.0,1800.0
1.1,1147,170,-690.0,-510.0,900.0
1.133,1170,187,-690.0,-540.0,1800.0
1.167,1193,205,-660.0,-600.0,1800.0
1.2,1215,225,-690.0,-660.0,900.0
1.233,1238,247,-690.0,-690.0,-7200.0
1.267,1261,270,-480.0,-450.0,-270000.0
1.3,1277,285,,,
1.333,0,0,,,
