Tiempo,PosX,PosY,VelX,VelY,AcelY
0.043,319,368,23.077,184.615,-3195.266
0.087,318,376,-92.308,323.077,-3727.811
0.13,322,390,-276.923,484.615,-1065.089
0.173,334,411,-346.154,530.769,532.544
0.217,349,434,-369.231,507.692,1065.089
0.26,365,456,-392.308,461.538,0.0
0.303,382,476,-369.231,461.538,1065.089
0.347,398,496,-369.231,415.385,1065.089
0.39,414,514,-369.231,369.231,0.0
0.433,430,530,-369.231,369.231,1065.089
0.477,446,546,-369.231,323.077,1065.089
0.52,462,560,-369.231,276.923,-532.544
0.563,478,572,-346.154,300.0,2130.178
0.607,493,585,-369.231,207.692,0.0
0.65,509,594,-369.231,207.692,532.544
0.693,525,603,-323.077,184.615,1065.089
0.737,539,611,-369.231,138.462,532.544
0.78,555,617,-346.154,115.385,532.544
0.823,570,622,-346.154,92.308,1065.089
0.867,585,626,-346.154,46.154,0.0
0.91,600,628,-323.077,46.154,1065.089
0.953,614,630,-369.231,0.0,532.544
0.997,630,630,-323.077,-23.077,532.544
1.04,644,629,-346.154,-46.154,1065.089
1.083,659,627,-346.154,-92.308,0.0
1.127,674,623,-323.077,-92.308,1065.089
1.17,688,619,-346.154,-138.462,0.0
1.213,703,613,-346.154,-138.462,1597.633
1.257,718,607,-323.077,-207.692,0.0
1.3,732,598,-346.154,-207.692,1065.089
1.343,747,589,-323.077,-253.846,0.0
1.387,761,578,-369.231,-253.846,532.544
1.43,777,567,-323.077,-276.923,1065.089
1.473,791,555,-323.077,-323.077,1065.089
1.517,805,541,-323.077,-369.231,-1065.089
1.56,819,525,-323.077,-323.077,-2130.178
1.603,833,511,,,
1.647,842,501,,,
