Tiempo,PosX,PosY,VelX,VelY,AcelY
0.306,349,625.0,-0.007,-0.0,-0.0
0.372,377,668.0,421.569,-2266.845,-2266.845
0.441,411,712.0,491.671,-209.118,-209.118
0.517,444,751.0,438.861,884.294,884.294
0.586,478,790.0,491.083,0.0,0.0
0.657,512,824.0,475.548,978.139,978.139
0.736,546,858.0,431.264,0.0,0.0
0.808,580,889.0,471.734,577.508,577.508
0.88,613,916.0,461.656,782.833,782.833
0.95,645,941.0,453.787,402.192,402.192
1.013,677,963.0,506.969,752.982,752.982
1.079,711,982.0,519.45,700.245,700.245
1.144,743,1000.0,491.647,236.051,236.051
1.211,774,1014.0,464.899,899.608,899.608
1.282,807,1027.0,464.048,197.741,197.741
1.354,838,1035.0,429.283,958.811,958.811
1.422,870,1044.0,472.722,-218.228,-218.228
1.504,900,1048.0,363.965,735.946,735.946
1.575,933,1051.0,466.064,199.463,199.463
1.627,964,1052.0,590.13,724.773,724.773
1.679,995,1049.0,604.142,1519.201,1519.201
1.736,1027,1044.0,560.646,613.914,613.914
1.795,1058,1037.0,526.79,577.539,577.539
1.848,1090,1028.0,601.009,705.492,705.492
1.902,1121,1015.0,574.404,1373.318,1373.318
1.959,1151,1000.0,528.483,620.655,620.655
2.015,1184,984.0,587.416,316.858,316.858
2.069,1214,963.0,556.556,1720.861,1720.861
2.124,1245,943.0,559.957,-326.277,-326.277
2.177,1276,918.0,584.188,1775.628,1775.628
2.232,1309,892.0,602.091,332.887,332.887
2.286,1338,864.0,531.979,673.013,673.013
2.355,1368,832.0,434.821,840.308,840.308
