Tiempo,PosX,PosY,VelX,VelY,AcelY
0.212,499,543.0,0.002,-0.0,-0.0
0.274,498,553.0,-16.331,-1333.501,-1333.501
0.341,504,573.0,89.426,-2221.377,-2221.377
0.408,518,604.0,207.413,-2414.388,-2414.388
0.472,540,640.0,344.257,-1224.308,-1224.308
0.535,563,675.0,367.953,255.934,255.934
0.597,587,710.0,385.791,0.0,0.0
0.658,611,740.0,389.811,1319.033,1319.033
0.71,634,769.0,447.842,379.135,379.135
0.764,656,795.0,408.206,1032.846,1032.846
0.818,679,820.0,422.76,337.856,337.856
0.873,702,844.0,419.63,332.872,332.872
0.925,725,865.0,442.326,1109.561,1109.561
0.974,747,884.0,445.534,820.252,820.252
1.031,770,902.0,401.717,305.059,305.059
1.092,792,917.0,364.027,821.377,821.377
1.142,815,930.0,461.186,804.131,804.131
1.195,837,942.0,412.274,351.177,351.177
1.243,859,952.0,463.42,887.431,887.431
1.291,881,960.0,453.943,851.506,851.506
1.337,903,965.0,482.575,1443.461,1443.461
1.382,925,969.0,487.577,491.18,491.18
1.432,947,971.0,441.799,806.555,806.555
1.477,969,972.0,481.448,478.909,478.909
1.524,992,971.0,492.777,918.067,918.067
1.571,1014,967.0,466.467,1348.709,1348.709
1.622,1036,962.0,432.316,386.151,386.151
1.667,1058,956.0,483.928,483.856,483.856
1.713,1080,947.0,484.535,1455.209,1455.209
1.758,1102,936.0,482.621,962.493,962.493
1.804,1124,925.0,487.318,0.0,0.0
1.849,1147,910.0,507.44,1947.031,1947.031
1.894,1170,893.0,511.609,989.58,989.58
1.94,1193,875.0,495.293,463.733,463.733
1.986,1215,855.0,478.283,945.266,945.266
2.032,1238,833.0,502.41,954.315,954.315
2.076,1261,810.0,520.849,512.823,512.823
2.126,1277,795.0,322.291,-3245.994,-3245.994
